"Name","Objects","Shallow Size","Retained Size"
"javax.imageio.stream.FileCacheImageInputStream$StreamDisposerRecord","24","576","576"
"javax.management.openmbean.SimpleType","14","560","856"
"sun.java2d.pipe.Region","14","560","560"
"com.sun.imageio.plugins.jpeg.JPEGImageReader$JPEGReaderDisposerRecord","23","552","552"
"java.security.Provider$UString","23","552","2440"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference","17","544","544"
"sun.reflect.DelegatingMethodAccessorImpl","34","544","18480"
"java.lang.Character[]","1","528","2160"
"javax.swing.JTabbedPane$Page","6","528","624"
"javax.swing.KeyStroke","22","528","528"
"javax.imageio.spi.DigraphNode","16","512","5344"
"java.util.ResourceBundle$CacheKey","9","504","792"
"javax.management.openmbean.CompositeType","9","504","5440"
"com.yourkit.probes.ForeignKeyColumn","20","480","1600"
"javax.swing.DefaultButtonModel","12","480","1312"
"sun.font.FontManager$FontConfigInfo","12","480","3272"
"sun.java2d.x11.X11PMBlitBgLoops","10","480","480"
"sun.java2d.x11.X11PMBlitLoops$DelegateBlitLoop","10","480","480"
"sun.nio.cs.UTF_8$Encoder","10","480","696"
"sun.reflect.NativeMethodAccessorImpl","20","480","480"
"sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl","15","480","480"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSliderUI$RangeTrackListener","15","480","480"
"javax.swing.JCheckBox","1","472","1088"
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig","19","456","6944"
"java.lang.Float","28","448","448"
"javax.management.MBeanParameterInfo","14","448","3024"
"javax.management.openmbean.OpenMBeanParameterInfoSupport","8","448","1920"
"com.sun.jmx.mbeanserver.PerInterface","11","440","46080"
"java.io.ObjectStreamField[]","15","440","2992"
"java.text.DateFormat$Field","18","432","432"
"java.text.DecimalFormat","3","432","992"
"java.util.ResourceBundle$BundleReference","9","432","1112"
"sun.awt.SunHints$Value[]","9","432","432"
"sun.java2d.StateTrackableDelegate","18","432","432"
"sun.swing.SwingUtilities2$2","18","432","432"
"java.util.HashMap$KeySet","26","416","416"
