"Name","Retained Size","Level"
"java.lang.System [JNI Global, Class]","13232", "1"
"java.nio.charset.Charset [Class]","12744", "1"
"sun.java2d.Disposer [JNI Global, Class]","11912", "1"
"sun.awt.X11.XToolkit [Class]","11016", "1"
"[Unreachable] int[2650] = {1197940296, 507995934, 1730037607, 1197940295, 524838943, 1746880616, 1197940296, 507995934, 1730037607, 1197940295, 491152925, 1713194598, 1181097286, 474375709, 1696351589, 1164254277, 507995934, 1713194855, 1181097286, 491152925, 1696351846, 1164254277, 490955805, 1679639396, 1130634563, 490955805, 1679639396, 1130634563, 474112796, 1679639139, 1130634563, 474112796, 1645953635, 1096948545, 490758428, 1662861155, 1063525951, 541091103, 1746878822, 1114120002, 490890782, 1696285029, 1164254275, 491218205, 1645955428, 1214191944, 356800277, 1427392086, 1180046661, 385875967, ...}","10616", "1"
"org.apache.log4j.ConsoleAppender","10024", "1"
"sun.util.LocaleServiceProviderPool [Class]","9960", "1"
"sun.awt.X11.XAtom [Class]","9880", "1"
"[Unreachable] int[2410] = {0, 0, -1005531088, 0, 1, 0, -1184135536, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, -1183832416, 20, 0, 0, -1005531000, 0, 1, 0, -1184135536, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1184887248, 8192, 0, 0, 0, 0, 0, 0, ...}","9656", "1"
"com.sun.jmx.mbeanserver.PerInterface","9528", "1"
"java.util.jar.JarFile","9256", "1"
"java.security.Provider [Class]","9232", "1"
"java.lang.UNIXProcess$1$1 [Stack Local, Thread]  ""process reaper"" native ID: 0x3D46","8920", "1"
"sun.awt.X11.XAWTIcon64_java_icon32_png [Class]","8832", "1"
"javax.imageio.ImageTypeSpecifier [Class]","8632", "1"
"com.sun.jmx.mbeanserver.JmxMBeanServer","8584", "1"
"java.util.regex.Pattern$CharPropertyNames [Class]","8584", "1"
"sun.font.Type1Font [Class]","8400", "1"
"java.util.zip.Inflater","8264", "1"
"java.io.BufferedInputStream","8248", "1"
"java.io.BufferedInputStream","8248", "1"
"sun.awt.SunToolkit [JNI Global, Class]","8232", "1"
"[Unreachable] byte[8192] = {0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ...}","8208", "1"
