"Name","Objects","Shallow Size","Retained Size"
"sun.java2d.loops.DrawGlyphListAA","30","1440","1440"
"com.sun.jmx.mbeanserver.MXBeanLookup","1","24","1440"
"sun.font.FontManager$FontRegistrationInfo","25","800","1432"
"java.util.LinkedList$Entry","28","672","1424"
"sun.font.TrueTypeFont$DirectoryEntry[]","2","192","1408"
"sun.text.resources.FormatData","1","40","1408"
"java.awt.Dimension","58","1392","1392"
"java.util.Collections$UnmodifiableRandomAccessList","7","168","1384"
"uk.ac.ed.inf.sdp2012.group7.vision.FeedProcessor","1","48","1312"
"java.security.BasicPermissionCollection","6","192","1296"
"sun.java2d.loops.BlitBg","27","1296","1296"
"sun.font.FontDesignMetrics","1","80","1288"
"javax.management.openmbean.TabularType","2","96","1272"
"sun.reflect.NativeConstructorAccessorImpl","53","1272","1272"
"sun.reflect.GeneratedMethodAccessor1","1","16","1264"
"sun.reflect.GeneratedMethodAccessor10","1","16","1264"
"sun.reflect.GeneratedMethodAccessor2","1","16","1264"
"sun.reflect.GeneratedMethodAccessor3","1","16","1264"
"sun.reflect.GeneratedMethodAccessor4","1","16","1264"
"sun.reflect.GeneratedMethodAccessor5","1","16","1264"
"sun.reflect.GeneratedMethodAccessor6","1","16","1264"
"sun.reflect.GeneratedMethodAccessor7","1","16","1264"
"sun.reflect.GeneratedMethodAccessor8","1","16","1264"
"sun.reflect.GeneratedMethodAccessor9","1","16","1264"
"java.lang.String[][]","4","216","1256"
"uk.ac.ed.inf.sdp2012.group7.vision.Thresholding","1","176","1248"
"sun.nio.cs.StandardCharsets$Cache","1","40","1240"
"sun.awt.X11.XContentWindow","2","272","1232"
"sun.swing.SwingLazyValue","38","912","1224"
"sun.font.TrueTypeFont$DirectoryEntry","38","1216","1216"
"sun.nio.cs.StandardCharsets$Classes","1","40","1216"
"javax.management.openmbean.OpenMBeanOperationInfoSupport","3","168","1176"
"double[]","20","1168","1168"
"javax.swing.RepaintManager","1","72","1168"
"short[][][]","1","40","1160"
"java.awt.Insets","36","1152","1152"
"java.nio.HeapCharBuffer","24","1152","1152"
"javax.swing.DefaultButtonModel","12","480","1152"
"sun.reflect.UnsafeQualifiedObjectFieldAccessorImpl","36","1152","1152"
"short[][]","5","160","1120"
"java.util.ResourceBundle$BundleReference","9","432","1112"
"javax.swing.JCheckBox","1","472","1088"
"java.awt.image.ComponentColorModel","8","832","1072"
"java.lang.Package","19","1064","1064"
"sun.java2d.loops.GraphicsPrimitiveProxy","19","1064","1064"
"uk.ac.ed.inf.sdp2012.group7.vision.worldstate.ObjectPosition","7","224","1064"
"java.awt.SystemColor","26","1040","1040"
"com.sun.jmx.mbeanserver.MXBeanSupport","16","640","1024"
"java.util.LinkedList","14","336","1024"
"java.awt.image.SinglePixelPackedSampleModel","7","336","1008"
"java.awt.FlowLayout","25","1000","1000"
"java.text.DecimalFormat","3","432","992"
"java.util.jar.JarFile$JarFileEntry","12","960","984"
"java.util.regex.Pattern$Curly","6","192","984"
"com.sun.jmx.mbeanserver.DescriptorCache","1","16","984"
"com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap","1","48","968"
"sun.reflect.misc.MethodUtil","1","64","968"
"java.security.Provider$EngineDescription","30","960","960"
"sun.java2d.x11.X11PMBlitLoops","20","960","960"
"sun.management.VMManagementImpl","1","24","920"
"sun.reflect.DelegatingConstructorAccessorImpl","54","864","912"
"org.apache.log4j.ProvisionNode","10","320","880"
"javax.management.MBeanOperationInfo[]","34","872","872"
"sun.java2d.x11.X11SurfaceData$X11PixmapSurfaceData","4","480","864"
"javax.management.openmbean.SimpleType","14","560","856"
"sun.java2d.loops.RenderCache","7","112","840"
"javax.management.ObjectName$Property[]","35","832","832"
"sun.management.MemoryPoolImpl$CollectionSensor","5","200","832"
"javax.swing.InputMap","34","816","816"
"sun.java2d.loops.DrawGlyphList","17","816","816"
"sun.java2d.loops.FillRect","17","816","816"
"sun.security.provider.NativePRNG$RandomIO","1","64","816"
"double[][]","2","120","808"
"java.lang.StringBuffer","5","120","800"
"sun.awt.SunDisplayChanger","2","32","800"
"java.util.ResourceBundle$CacheKey","9","504","792"
"javax.swing.ActionMap","33","792","792"
"java.util.concurrent.locks.ReentrantLock","17","272","784"
"sun.management.MemoryPoolImpl$PoolSensor","5","200","784"
"au.edu.jcu.v4l4j.InputInfo","2","64","776"
"sun.awt.SunHints$Value","32","768","768"
"sun.font.EAttribute","24","768","768"
"sun.java2d.loops.DrawLine","16","768","768"
"sun.java2d.loops.DrawPath","16","768","768"
"sun.java2d.loops.DrawPolygons","16","768","768"
"sun.java2d.loops.DrawRect","16","768","768"
"sun.java2d.loops.FillPath","16","768","768"
"sun.java2d.loops.FillSpans","16","768","768"
"sun.nio.cs.UTF_8$Encoder","11","528","768"
"java.awt.DefaultKeyboardFocusManager","1","72","768"
"java.awt.EventDispatchThread","1","128","752"
"sun.reflect.annotation.AnnotationInvocationHandler","31","744","744"
"javax.naming.Name[]","1","32","744"
"sun.java2d.loops.RenderCache$Entry[]","7","632","728"
"javax.naming.CompositeName","3","48","712"
"java.util.Locale","22","704","704"
"sun.awt.X11.XRootWindow","1","80","696"
"java.lang.ref.ReferenceQueue$Lock","42","672","672"
"sun.java2d.loops.TransformHelper","14","672","672"
"javax.naming.NameImpl","3","192","664"
"java.awt.geom.AffineTransform[]","1","88","664"
"sun.security.provider.SecureRandom","1","32","656"
"java.lang.OutOfMemoryError","8","256","648"
"sun.java2d.pipe.Region","16","640","640"
"sun.java2d.x11.X11SurfaceData$X11WindowSurfaceData","4","416","640"
"sun.net.www.protocol.jar.URLJarFile","4","288","640"
"org.apache.log4j.CategoryKey","13","312","632"
"java.util.regex.Pattern$CharPropertyNames$1","39","624","624"
"javax.swing.JTabbedPane$Page","6","528","624"
"sun.java2d.loops.DrawGlyphListLCD","13","624","624"
"java.util.ResourceBundle$RBClassLoader","1","56","616"
"com.sun.imageio.plugins.jpeg.JPEGImageReader","3","600","600"
"java.util.Collections$UnmodifiableMap","5","160","600"
"javax.management.ObjectName$Property","25","600","600"
"com.intel.bluetooth.BluetoothStackBlueZ","1","64","600"
"javax.swing.plaf.metal.MetalTabbedPaneUI","1","208","592"
"java.util.Stack","10","320","584"
"java.lang.StringBuilder","19","456","576"
"java.util.Map[]","1","32","576"
"java.util.regex.Pattern$6","3","72","560"
"java.io.FileDescriptor","15","360","552"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference","17","544","544"
"java.security.MessageDigest$Delegate","1","32","544"
"org.apache.log4j.helpers.PatternParser$CategoryPatternConverter","1","40","544"
"java.awt.image.DataBufferByte","9","432","528"
"javax.swing.KeyStroke","22","528","528"
"java.awt.Color","13","520","520"
"java.net.SocksSocketImpl","2","224","512"
"java.nio.DirectByteBuffer","8","512","512"
"java.util.regex.Pattern$CharPropertyNames$4","16","256","512"
"javax.swing.BufferStrategyPaintManager","1","72","512"
"sun.security.provider.SHA","1","56","512"
"java.awt.Font","7","504","504"
"java.lang.StringCoding$StringEncoder","6","144","504"
"sun.awt.X11.XFocusProxyWindow","2","176","496"
"sun.awt.X11.XWM","1","32","496"
"sun.awt.SunHints$Value[][]","1","56","488"
"sun.java2d.x11.X11PMBlitBgLoops","10","480","480"
"sun.java2d.x11.X11PMBlitLoops$DelegateBlitLoop","10","480","480"
"sun.nio.ch.FileChannelImpl","2","96","480"
"sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl","15","480","480"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSliderUI$RangeTrackListener","15","480","480"
"java.util.Set[]","1","32","480"
"sun.awt.AWTAutoShutdown","1","40","480"
"sun.awt.im.InputMethodContext","2","128","464"
"com.yourkit.probes.builtin.Processes$IOOperationTable","3","144","456"
"sun.font.FontStrikeDesc","6","240","456"
"sun.java2d.StateTrackableDelegate","19","456","456"
"sun.reflect.NativeMethodAccessorImpl","19","456","456"
"sun.awt.X11.XCreateWindowParams","1","48","456"
"sun.font.GlyphList","1","80","456"
"sun.security.jca.ProviderList$1","1","96","456"
"java.lang.Float","28","448","448"
"sun.awt.image.SunVolatileImage","4","224","440"
"java.text.DateFormat$Field","18","432","432"
"java.util.HashMap$KeySet","27","432","432"
"sun.awt.SunHints$Value[]","9","432","432"
"sun.swing.SwingUtilities2$2","18","432","432"
"sun.swing.ImageCache","1","24","432"
"com.yourkit.runtime.TelemetryThreadJVMTI","1","136","424"
"sun.misc.SoftCache","2","64","416"
"sun.java2d.loops.CompositeType","17","408","408"
"javax.management.StandardEmitterMBean","1","32","408"
"java.net.InetAddress$Cache","2","48","400"
"sun.security.jca.ProviderList","2","48","400"
"java.util.regex.Pattern$Ques","2","48","392"
"java.util.HashMap$EntrySet","24","384","384"
"sun.misc.Cleaner","6","240","384"
"java.awt.color.ICC_ColorSpace","3","192","368"
"java.awt.font.TextAttribute","23","368","368"
"java.lang.ref.Finalizer$FinalizerThread","1","112","368"
"uk.ac.ed.inf.sdp2012.group7.strategy.Strategy","1","24","368"
"uk.ac.ed.inf.sdp2012.group7.strategy.Strategy$1","1","128","368"
"com.yourkit.probes.StringColumn","15","360","360"
"java.awt.Rectangle[]","5","168","360"
"javax.swing.plaf.basic.BasicButtonListener","15","360","360"
"javax.swing.plaf.basic.BasicSliderUI$ScrollListener","15","360","360"
"com.intel.bluetooth.BlueCoveImpl$AsynchronousShutdownThread","1","120","360"
"java.lang.ClassLoader$NativeLibrary","11","352","352"
"sun.font.Font2DHandle","22","352","352"
"com.intel.bluetooth.BlueCoveImpl$ShutdownHookThread","1","120","344"
"sun.awt.X11.XWINProtocol","1","56","344"
"uk.ac.ed.inf.sdp2012.group7.control.RobotControl","1","40","344"
"au.edu.jcu.v4l4j.ResolutionInfo","14","336","336"
"javax.swing.ButtonGroup","3","72","336"
"sun.awt.CausedFocusEvent$Cause","14","336","336"
"sun.font.EAttribute[]","3","336","336"
"sun.reflect.generics.factory.CoreReflectionFactory","8","192","336"
"java.util.logging.LogManager$Cleaner","1","112","328"
"sun.awt.X11.XToolkit$1","1","112","328"
"java.io.FileInputStream","5","160","320"
"java.text.DecimalFormatSymbols","5","320","320"
"sun.awt.image.BufImgSurfaceData","5","320","320"
"sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl","10","320","320"
"sun.security.jca.ProviderConfig[]","2","64","320"
"javax.imageio.spi.IIORegistry","1","16","320"
"org.apache.log4j.Level","13","312","312"
"javax.swing.event.ChangeEvent","19","304","304"
"javax.swing.JToggleButton$ToggleButtonModel","3","120","304"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport","1","24","304"
"java.lang.Object[][]","1","48","304"
"java.lang.ThreadGroup","2","96","296"
